osm_id,network_id
17676,set()
19014,{'124547'}
17010,{'535241'}
12370,{'358185'}
15525,set()
17936,set()
15742,{'226903'}
5954,"{'107561', '202538'}"
18491,set()
5416,set()
30227,set()
25219,set()
29097,set()
14873,set()
22302,{'483485'}
23452,{'297114'}
29476,{'383778'}
27846,set()
27645,set()
18985,{'441039'}
875,{'98675'}
6646,{'440661'}
22320,{'314689'}
20646,{'357030'}
5871,set()
7916,{'549409'}
5187,set()
13934,{'200113'}
19490,set()
10183,{'558418'}
27189,{'252914'}
8780,set()
18718,set()
20193,set()
3000,{'308784'}
12069,set()
18109,set()
117,{'334871'}
3045,set()
25942,set()
6763,{'440661'}
20962,{'202538'}
23951,set()
6195,{'535229'}
21596,{'483485'}
16280,{'216306'}
20791,{'436449'}
17166,set()
17319,{'314255'}
28052,set()
19073,{'198977'}
26284,{'290953'}
21167,{'549645'}
16372,set()
10996,set()
1652,set()
23072,{'550141'}
25739,set()
29046,{'354992'}
25146,set()
16691,{'473177'}
4971,{'297103'}
11654,set()
11921,{'273167'}
15540,{'436449'}
7140,{'310619'}
5006,set()
9504,set()
9594,set()
29778,"{'383778', '200113'}"
2946,{'426940'}
3243,set()
2339,set()
30098,{'514748'}
23069,{'550141'}
7969,set()
20863,set()
13152,{'125149'}
12495,set()
7611,set()
20150,{'252873'}
24696,set()
16818,{'205508'}
27721,{'287654'}
22437,{'554487'}
28251,set()
16416,{'337792'}
2771,{'228685'}
30032,set()
24863,set()
24387,set()
5983,{'115387'}
28661,{'482708'}
3586,{'252914'}
3132,set()
20553,{'558368'}
14004,set()
24148,{'90664'}
29793,set()
19182,{'233331'}
25415,set()
19429,set()
28878,{'380597'}
27456,{'228685'}
27880,{'286796'}
6858,{'81375'}
1373,{'433016'}
29398,{'29806'}
25883,{'467315'}
3717,set()
3633,set()
5438,set()
8390,{'346250'}
9637,"{'489937', '92064'}"
8387,{'558418'}
6643,{'440661'}
27165,set()
7569,{'423944'}
10708,{'570562'}
309,{'433016'}
6337,{'310619'}
9027,{'310584'}
14055,set()
11780,set()
2294,{'467315'}
6597,set()
638,set()
18218,{'289765'}
22682,{'548509'}
20503,set()
3958,{'430969'}
4784,set()
26356,set()
4551,set()
9089,set()
10836,set()
6324,{'334871'}
16656,set()
9441,set()
17862,set()
25507,{'308896'}
4492,{'474139'}
15129,{'284785'}
9311,{'428526'}
20434,{'516481'}
17120,{'543573'}
16908,{'542811'}
5632,set()
16189,{'516378'}
22364,set()
24915,set()
11194,{'427370'}
8338,set()
5216,{'20490'}
11489,{'488067'}
9876,"{'46380', '284801'}"
1205,set()
21607,{'483485'}
1637,{'314255'}
16017,set()
9366,set()
12906,set()
28364,{'558493'}
899,set()
24049,{'357362'}
6890,{'89162'}
16216,{'48795'}
699,set()
23880,set()
3821,{'106'}
24913,set()
14314,{'545928'}
24629,{'482708'}
26965,set()
20485,{'440383'}
16220,set()
28152,set()
8988,{'426280'}
16945,{'493286'}
10993,set()
9136,{'410520'}
19682,{'554111'}
22152,{'410528'}
832,set()
3609,set()
11149,{'205446'}
6527,{'460228'}
1964,set()
1118,{'230357'}
19664,{'554223'}
17143,{'407942'}
634,set()
27943,set()
14426,{'89340'}
24164,{'428526'}
12430,{'551273'}
10001,"{'459907', '107614'}"
18167,set()
29377,{'514613'}
11696,{'308784'}
8506,set()
28519,{'342816'}
27549,"{'570877', '272908'}"
15528,{'434956'}
15797,{'570603'}
30153,set()
12684,{'550125'}
15410,set()
15833,{'227498'}
8934,set()
3662,{'494665'}
26796,set()
5976,set()
12172,{'484560'}
15958,{'341771'}
29736,{'553947'}
11767,"{'527225', '100356'}"
28296,set()
2605,set()
21016,{'226903'}
20360,{'310280'}
23,{'284801'}
12329,set()
11827,{'215677'}
22767,{'380597'}
25233,set()
26544,set()
20569,set()
25844,set()
18860,{'554223'}
28900,{'558373'}
6530,set()
19453,set()
30096,{'89340'}
5214,set()
